iter	RMSE
0	28.45582504
1	27.74540884
2	27.07669519
3	26.48497174
4	25.95514171
5	25.50108016
6	25.08357186
7	24.69765693
8	24.35898722
9	24.069311
10	23.80044363
11	23.57994419
12	23.36539058
13	23.14795274
14	22.97933029
15	22.81583651
16	22.65969685
17	22.51741216
18	22.38632578
19	22.25341568
20	22.14632736
21	22.03329286
22	21.9323641
23	21.84414163
24	21.74690384
25	21.66749717
26	21.58205189
27	21.4960695
28	21.43132496
29	21.37631594
30	21.30772246
31	21.25151816
32	21.1916616
33	21.12289146
34	21.07142287
35	21.03080096
36	20.98025936
37	20.93395928
38	20.87451851
39	20.82271011
40	20.77228478
41	20.72858299
42	20.69539591
43	20.65387961
44	20.60766735
45	20.56868945
46	20.52375718
47	20.4963879
48	20.46136718
49	20.42278564
50	20.38384093
51	20.35053249
52	20.32200067
53	20.29335623
54	20.26744808
55	20.2357159
56	20.21212287
57	20.16913467
58	20.12799492
59	20.09196856
60	20.06336839
61	20.03851974
62	20.01491413
63	19.99940949
64	19.98132391
65	19.9469911
66	19.92374687
67	19.90133273
68	19.87309599
69	19.85645113
70	19.82981597
71	19.80701176
72	19.78850645
73	19.77073602
74	19.75734701
75	19.72055952
76	19.68907464
77	19.65169761
78	19.62738297
79	19.59587749
80	19.57692681
81	19.56590764
82	19.54288145
83	19.52564967
84	19.50751953
85	19.4805756
86	19.46264391
87	19.44795935
88	19.42419848
89	19.40301915
90	19.38179848
91	19.36195727
92	19.33678559
93	19.31090561
94	19.29830229
95	19.27853561
96	19.26397746
97	19.24737728
98	19.21718677
99	19.19675935
100	19.17770234
101	19.16503887
102	19.15130671
103	19.13323494
104	19.1156861
105	19.10122149
106	19.08894358
107	19.06854306
108	19.04966275
109	19.03190257
110	19.01395534
111	18.99655593
112	18.98552168
113	18.96379489
114	18.95213621
115	18.94020088
116	18.92712412
117	18.91257141
118	18.89686121
119	18.88214906
120	18.86601421
121	18.84958875
122	18.83463447
123	18.81484571
124	18.80144642
125	18.78970121
126	18.78103984
127	18.76238964
128	18.75269711
129	18.73048414
130	18.7144419
131	18.7022266
132	18.68659925
133	18.67450717
134	18.66146582
135	18.65166675
136	18.63441891
137	18.6184316
138	18.60571887
139	18.59027635
140	18.57335939
141	18.55734168
142	18.54170925
143	18.53323186
144	18.51941088
145	18.51094802
146	18.49051825
147	18.47913535
148	18.46599598
149	18.45815179
150	18.44752041
151	18.43488652
152	18.42300107
153	18.41112676
154	18.39935089
155	18.38861915
156	18.38294671
157	18.3771348
158	18.3643981
159	18.35227216
160	18.34299688
161	18.33250889
162	18.31980315
163	18.31007564
164	18.30533155
165	18.29121085
166	18.27593326
167	18.2625853
168	18.25686214
169	18.24895217
170	18.24238983
171	18.23625997
172	18.22148308
173	18.20836801
174	18.19847532
175	18.18723761
176	18.17380324
177	18.16366737
178	18.15541313
179	18.14634262
180	18.13339383
181	18.12209029
182	18.11583089
183	18.11098581
184	18.10077101
185	18.09129865
186	18.07945977
187	18.0674714
188	18.0549246
189	18.05002577
190	18.04488376
191	18.03348183
192	18.02182175
193	18.00898799
194	17.99947126
195	17.98875121
196	17.9807532
197	17.97409635
198	17.96915579
199	17.96435683
200	17.95826337
201	17.94988715
202	17.94144401
203	17.92888345
204	17.92300651
205	17.91325362
206	17.90217815
207	17.89148253
208	17.88583944
209	17.87451491
210	17.86124372
211	17.85044988
212	17.84721091
213	17.83479824
214	17.82312899
215	17.81610663
216	17.8065202
217	17.79672715
218	17.78729694
219	17.78438682
220	17.77557516
221	17.76736242
222	17.75731854
223	17.74918125
224	17.74012824
225	17.73183146
226	17.71958302
227	17.71650076
228	17.70787463
229	17.7027779
230	17.69794475
231	17.68899663
232	17.67944027
233	17.66580554
234	17.66295081
235	17.65541242
236	17.64992552
237	17.64408676
238	17.63290214
239	17.62497842
240	17.61710631
241	17.60631379
242	17.59653636
243	17.59246603
244	17.58836492
245	17.57915535
246	17.57032936
247	17.56274141
248	17.55309858
249	17.54187638
250	17.53076184
251	17.51902026
252	17.51330787
253	17.50267551
254	17.49517823
255	17.48815663
256	17.48555913
257	17.48036833
258	17.47543708
259	17.46492169
260	17.45555444
261	17.44618797
262	17.43952335
263	17.43093714
264	17.42489816
265	17.41657355
266	17.41215718
267	17.40028566
268	17.39377159
269	17.38156117
270	17.37688679
271	17.36884578
272	17.36218519
273	17.35343448
274	17.34282789
275	17.33866444
276	17.3283783
277	17.32500109
278	17.3177079
279	17.3120144
280	17.30322216
281	17.29753315
282	17.28971766
